Kevin Durant	SF	OKC	81	81	38.5	32.0	10.5	20.8	50.3	2.4	2.4	39.1	8.7	9.9	87.3
Carmelo Anthony	SF	NY	77	77	38.7	27.4	9.6	21.3	45.2	2.2	2.2	40.2	6.0	7.0	84.8
LeBron James	SF	MIA	77	77	37.7	27.1	10.0	17.6	56.7	1.5	1.5	37.9	5.7	7.6	75.0
Kevin Love	PF	MIN	77	77	36.3	26.1	8.4	18.5	45.7	2.5	2.5	37.6	6.8	8.2	82.1
James Harden	SG	HOU	73	73	38.0	25.4	7.5	16.5	45.6	2.4	2.4	36.6	7.9	9.1	86.6
Blake Griffin	PF	LAC	80	80	35.8	24.1	9.0	17.0	52.8	0.2	0.2	27.3	6.0	8.4	71.5
Stephen Curry	PG	GS	78	78	36.5	24.0	8.4	17.7	47.1	3.3	3.3	42.4	3.9	4.5	88.5
LaMarcus Aldridge	PF	POR	69	69	36.2	23.2	9.4	20.6	45.8	0.0	0.0	20.0	4.3	5.2	82.2
DeMarcus Cousins	C	SAC	71	71	32.4	22.7	8.3	16.8	49.6	0.0	0.0	0.0	6.1	8.4	72.6
DeMar DeRozan	SG	TOR	79	79	38.2	22.7	7.6	17.8	42.9	0.8	0.8	30.5	6.6	8.0	82.4
Al Jefferson	C	CHA	73	73	35.0	21.8	9.6	18.8	50.9	0.0	0.0	20.0	2.6	3.8	69.0
Russell Westbrook	PG	OKC	46	46	30.7	21.8	7.5	17.2	43.7	1.5	1.5	31.8	5.3	6.4	82.6
Paul George	SF	IND	80	80	36.2	21.7	7.2	17.0	42.4	2.3	2.3	36.4	5.0	5.8	86.4
Dirk Nowitzki	PF	DAL	80	80	32.8	21.7	7.9	15.9	49.7	1.6	1.6	39.8	4.2	4.7	89.9
Anthony Davis	PF	NO	67	66	35.2	20.8	7.8	15.0	51.9	0.0	0.0	22.2	5.2	6.6	79.1
Kyrie Irving	PG	CLE	71	71	35.2	20.8	7.5	17.4	43.0	1.7	1.7	35.8	4.1	4.8	86.1
Damian Lillard	PG	POR	82	82	35.8	20.7	6.7	15.9	42.4	2.7	2.7	39.4	4.5	5.2	87.1
Brook Lopez	C	BKN	17	17	31.4	20.7	7.6	13.5	56.3	0.0	0.0	0.0	5.5	6.8	81.7
Goran Dragic	PG	PHO	76	75	35.1	20.3	7.3	14.4	50.5	1.6	1.6	40.8	4.2	5.5	76.0
Isaiah Thomas	PG	SAC	72	54	34.7	20.3	6.9	15.2	45.3	1.8	1.8	34.9	4.8	5.7	85.0
Rudy Gay	SF	SAC	73	73	34.7	20.0	7.4	16.2	45.5	0.9	0.9	33.0	4.4	5.3	82.2
Ryan Anderson	PF	NO	22	14	36.1	19.8	7.0	16.1	43.8	3.0	3.0	40.9	2.7	2.8	95.2
John Wall	PG	WAS	82	82	36.3	19.3	7.1	16.3	43.3	1.3	1.3	35.1	3.9	4.8	80.5
Kevin Martin	SG	MIN	68	68	32.0	19.1	6.5	15.0	43.0	1.7	1.7	38.7	4.5	5.0	89.1
Chris Paul	PG	LAC	62	62	35.0	19.1	6.5	14.0	46.7	1.3	1.3	36.8	4.8	5.6	85.5
Monta Ellis	PG	DAL	82	82	36.9	19.0	7.0	15.6	45.1	0.8	0.8	33.0	4.1	5.2	78.8
Dwyane Wade	SG	MIA	54	53	32.9	19.0	7.7	14.1	54.5	0.2	0.2	28.1	3.5	4.8	73.3
Jamal Crawford	SG	LAC	69	24	30.3	18.6	6.1	14.7	41.6	2.3	2.3	36.1	4.0	4.7	86.6
Al Horford	C	ATL	29	29	33.0	18.6	8.2	14.5	56.7	0.1	0.1	36.4	2.0	2.9	68.2
Klay Thompson	SG	GS	81	81	35.4	18.4	6.9	15.5	44.4	2.8	2.8	41.7	1.8	2.3	79.5
Dwight Howard	C	HOU	71	71	33.7	18.3	6.7	11.3	59.1	0.0	0.0	28.6	4.9	9.0	54.7
Arron Afflalo	SG	ORL	73	73	35.0	18.2	6.4	13.8	45.9	1.8	1.8	42.7	3.8	4.6	81.5
David Lee	C	GS	69	67	33.2	18.2	7.4	14.2	52.3	0.0	0.0	0.0	3.3	4.3	78.0
Brandon Knight	PG	MIL	72	69	33.3	17.9	6.4	15.2	42.2	1.5	1.5	32.5	3.6	4.5	80.2
Kyle Lowry	PG	TOR	79	79	36.2	17.9	5.8	13.7	42.3	2.4	2.4	38.0	4.0	4.9	81.3
Paul Millsap	PF	ATL	74	73	33.5	17.9	6.5	14.1	46.1	1.0	1.0	35.8	3.9	5.3	73.1
Nick Young	SG	LAL	64	9	28.3	17.9	6.0	13.9	43.5	2.1	2.1	38.6	3.7	4.5	82.5
Thaddeus Young	SF	PHI	79	78	34.4	17.9	7.4	16.2	45.4	1.1	1.1	30.8	2.1	2.9	71.2
Eric Bledsoe	PG	PHO	43	40	32.9	17.7	6.2	12.9	47.7	1.2	1.2	35.7	4.3	5.5	77.2
Kemba Walker	PG	CHA	73	73	35.8	17.7	6.2	15.7	39.3	1.5	1.5	33.3	3.9	4.6	83.7
Ty Lawson	PG	DEN	62	61	35.8	17.6	5.6	13.0	43.1	1.2	1.2	35.6	5.2	6.5	79.8
Pau Gasol	PF	LAL	60	60	31.4	17.4	7.1	14.8	48.0	0.1	0.1	28.6	3.1	4.2	73.6
Nikola Pekovic	C	MIN	54	54	30.8	17.4	7.0	13.0	54.0	0.0	0.0	0.0	3.4	4.6	74.7
Zach Randolph	PF	MEM	79	79	34.2	17.4	7.1	15.2	46.7	0.0	0.0	10.0	3.2	4.3	74.2
Mike Conley	PG	MEM	73	73	33.5	17.2	6.3	14.1	45.0	1.4	1.4	36.1	3.1	3.8	81.5
Bradley Beal	SG	WAS	73	73	34.7	17.1	6.6	15.7	41.9	1.9	1.9	40.2	2.0	2.6	78.8
Jeff Green	PF	BOS	82	82	34.2	16.9	5.9	14.3	41.2	1.6	1.6	34.1	3.5	4.3	79.5
Michael Carter-Williams	PG	PHI	70	70	34.5	16.7	6.1	15.1	40.5	0.8	0.8	26.4	3.7	5.2	70.3
Tony Parker	PG	SA	68	68	29.4	16.7	6.7	13.4	49.9	0.4	0.4	37.3	2.9	3.6	81.1
Chandler Parsons	SF	HOU	74	74	37.6	16.6	6.3	13.3	47.2	1.8	1.8	37.0	2.2	3.0	74.2
Jeff Teague	PG	ATL	79	79	32.2	16.5	5.8	13.2	43.8	0.9	0.9	32.9	4.0	4.8	84.6
Wesley Matthews	SG	POR	82	82	33.9	16.4	5.4	12.3	44.1	2.5	2.5	39.3	3.1	3.7	83.7
Josh Smith	SF	DET	77	76	35.5	16.4	6.7	16.0	41.9	0.9	0.9	26.4	2.1	3.9	53.2
Chris Bosh	PF	MIA	79	79	32.0	16.2	6.2	12.1	51.6	0.9	0.9	33.9	2.8	3.4	82.0
Gordon Hayward	SG	UTA	77	77	36.4	16.2	5.5	13.4	41.3	1.1	1.1	30.4	4.0	4.9	81.6
Luol Deng	SF	CLE	63	63	35.1	16.0	5.9	13.7	43.1	0.9	0.9	30.2	3.4	4.3	79.1
Derrick Rose	PG	CHI	10	10	31.1	15.9	5.8	16.4	35.4	1.6	1.6	34.0	2.7	3.2	84.4
Dion Waiters	SG	CLE	70	24	29.6	15.9	6.1	14.2	43.3	1.3	1.3	36.8	2.3	3.4	68.5
Gerald Green	SG	PHO	82	48	28.4	15.8	5.5	12.3	44.5	2.5	2.5	40.0	2.4	2.8	84.8
Joe Johnson	SG	BKN	79	79	32.6	15.8	5.8	12.9	45.4	2.1	2.1	40.1	2.0	2.5	81.5
Jodie Meeks	SG	LAL	77	70	33.2	15.7	5.4	11.6	46.3	2.1	2.1	40.1	2.9	3.4	85.7
Brandon Jennings	PG	DET	80	79	34.1	15.5	5.3	14.2	37.3	1.9	1.9	33.7	3.0	4.0	75.1
Eric Gordon	SG	NO	64	64	32.1	15.4	5.6	12.8	43.6	1.6	1.6	39.1	2.7	3.5	78.5
Greg Monroe	PF	DET	82	82	32.8	15.2	6.1	12.4	49.7	0.0	0.0	0.0	2.9	4.5	65.7
J.J. Redick	SG	LAC	35	34	28.2	15.2	5.2	11.4	45.5	2.1	2.1	39.5	2.8	3.0	91.5
Tim Duncan	PF	SA	74	74	29.2	15.1	6.0	12.2	49.0	0.0	0.0	0.0	3.1	4.3	73.1
Serge Ibaka	PF	OKC	81	81	32.9	15.1	6.5	12.1	53.6	0.3	0.3	38.3	1.9	2.5	78.4
Avery Bradley	PG	BOS	60	58	30.9	14.8	6.0	13.8	43.8	1.3	1.3	39.5	1.5	1.9	80.4
Marc Gasol	C	MEM	59	59	33.4	14.6	5.7	12.1	47.3	0.0	0.0	18.2	3.1	4.1	76.8
Tobias Harris	SF	ORL	61	36	30.3	14.6	5.4	11.7	46.4	0.5	0.5	25.4	3.2	4.0	80.7
Tyreke Evans	PG	NO	72	22	28.2	14.5	5.4	12.5	43.6	0.3	0.3	22.1	3.3	4.3	77.1
J.R. Smith	SG	NY	74	37	32.7	14.5	5.4	12.9	41.5	2.6	2.6	39.4	1.2	1.9	65.2
Trevor Ariza	SG	WAS	77	77	35.4	14.4	5.1	11.1	45.6	2.3	2.3	40.7	1.9	2.5	77.2
Jrue Holiday	PG	NO	34	34	33.6	14.3	6.0	13.4	44.7	0.9	0.9	39.0	1.5	1.9	81.0
Deron Williams	PG	BKN	64	58	32.2	14.3	5.0	11.2	45.0	1.5	1.5	36.6	2.7	3.4	80.1
Nene	C	WAS	53	37	29.4	14.2	5.6	11.2	50.3	0.0	0.0	20.0	2.9	5.0	58.3
Nikola Vucevic	C	ORL	57	57	31.8	14.2	6.2	12.2	50.7	0.0	0.0	0.0	1.8	2.4	76.6
Alec Burks	PG	UTA	78	12	28.1	14.0	4.9	10.7	45.7	0.6	0.6	35.0	3.6	4.8	74.8
Gerald Henderson	SG	CHA	77	77	32.0	14.0	5.2	12.1	43.3	0.5	0.5	34.8	3.1	4.0	76.1
Evan Turner	SF	IND	81	56	30.3	14.0	5.4	12.6	42.5	0.6	0.6	32.1	2.6	3.2	81.3
David West	PF	IND	80	80	30.9	14.0	5.7	11.7	48.8	0.0	0.0	26.7	2.5	3.1	78.9
Rodney Stuckey	PG	DET	73	5	26.7	13.9	5.1	11.7	43.6	0.3	0.3	27.3	3.3	4.0	83.6
Kobe Bryant	SG	LAL	6	6	29.5	13.8	5.2	12.2	42.5	0.5	0.5	18.8	3.0	3.5	85.7
Markieff Morris	PF	PHO	81	0	26.6	13.8	5.1	10.4	48.6	0.4	0.4	31.5	3.2	4.0	79.2
Victor Oladipo	SG	ORL	80	44	31.1	13.8	4.9	11.7	41.9	0.9	0.9	32.7	3.1	4.0	78.0
Lance Stephenson	SG	IND	78	78	35.3	13.8	5.5	11.2	49.1	1.1	1.1	35.2	1.8	2.5	71.1
Carlos Boozer	PF	CHI	76	76	28.2	13.7	5.9	12.9	45.6	0.0	0.0	0.0	1.9	2.5	76.7
Kenneth Faried	PF	DEN	80	77	27.2	13.7	5.6	10.2	54.5	0.0	0.0	0.0	2.5	3.9	65.0
Wilson Chandler	SF	DEN	62	55	31.1	13.6	5.0	11.9	41.6	2.0	2.0	34.8	1.8	2.5	72.4
Andre Drummond	C	DET	81	81	32.3	13.5	5.9	9.5	62.3	0.0	0.0	0.0	1.7	4.0	41.8
Paul Pierce	SF	BKN	75	68	28.0	13.5	4.3	9.5	45.1	1.5	1.5	37.3	3.4	4.1	82.6
Andrea Bargnani	C	NY	42	39	29.9	13.3	5.3	12.0	44.2	0.7	0.7	27.8	2.0	2.4	82.4
Derrick Favors	C	UTA	73	73	30.2	13.3	5.3	10.2	52.2	0.0	0.0	0.0	2.6	3.9	66.9
Jared Sullinger	C	BOS	74	44	27.6	13.3	5.2	12.1	42.7	0.8	0.8	26.9	2.1	2.7	77.8
Randy Foye	PG	DEN	81	78	30.7	13.2	4.5	10.8	41.3	2.3	2.3	38.0	1.9	2.3	84.9
Marcin Gortat	PF	WAS	81	80	32.8	13.2	5.6	10.4	54.2	0.0	0.0	100.0	1.9	2.8	68.6
Spencer Hawes	C	CLE	80	78	30.9	13.2	5.0	11.0	45.6	1.6	1.6	41.6	1.5	1.9	78.3
D.J. Augustin	PG	CHI	71	9	27.3	13.1	4.2	10.1	41.5	1.9	1.9	40.1	2.8	3.2	88.5
Jimmy Butler	SG	CHI	67	67	38.7	13.1	4.1	10.3	39.7	1.0	1.0	28.3	3.9	5.0	76.9
Reggie Jackson	PG	OKC	80	36	28.5	13.1	5.0	11.4	44.0	1.0	1.0	33.9	2.0	2.2	89.3
Nicolas Batum	SF	POR	82	82	36.0	13.0	4.6	10.0	46.5	1.8	1.8	36.1	2.0	2.5	80.3
Taj Gibson	PF	CHI	82	8	28.7	13.0	5.2	10.9	47.9	0.0	0.0	0.0	2.6	3.4	75.1
Tony Wroten	SG	PHI	72	16	24.5	13.0	4.8	11.2	42.7	0.6	0.6	21.3	2.9	4.5	64.1
Trey Burke	PG	UTA	70	68	32.3	12.8	4.9	12.8	38.0	1.6	1.6	33.0	1.5	1.6	90.3
Kawhi Leonard	SF	SA	66	65	29.1	12.8	5.1	9.8	52.2	1.0	1.0	37.9	1.5	1.9	80.2
Joakim Noah	C	CHI	80	80	35.2	12.6	4.8	10.0	47.5	0.0	0.0	0.0	3.1	4.2	73.7
Jeremy Lin	PG	HOU	71	33	28.9	12.5	4.2	9.3	44.6	1.2	1.2	35.8	3.1	3.7	82.3
Corey Brewer	SF	MIN	81	81	32.2	12.3	4.8	10.0	48.1	0.7	0.7	28.0	2.0	2.8	71.8
